,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,line_original,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,positivity_bar_chart,song_name,artist_name,tsne_x_combined,tsne_y_combined
65,I),I,I,66,10,2,Verse 1,2,16,33,27,26,"[1, 13, 15, 25, 44, 51, 63, 66, 76, 100, 121, 130, 137, 144, 154, 170, 182, 199, 204, 242, 256, 271, 285, 297, 320, 329, 338, 350, 359, 367, 373, 381, 384]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,There is just one thing I need (And I), there is just one thing I need and I,POSITIVE,0.5869,0.5869,15,0.4166666666666667,0.9797,36,0.4235294117647059,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,3.4980101585388184,-2.9368908405303955
66,Don't,Don't,don't,67,11,2,Verse 1,3,17,6,6,6,"[2, 16, 52, 67, 77, 272]","[('do', 'VBP'), (""n't"", 'RB')]",MULT,NEGATIVE,0.9883,Don't care about the presents, don't care about the presents,NEGATIVE,0.9997,-0.9997,1,0.027777777777777776,-0.9883,2,0.023529411764705882,neg_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-3.976262331008911,11.79769229888916
67,care,care,care,68,11,2,Verse 1,3,18,2,2,2,"[17, 68]","[('care', 'NN')]",N,POSITIVE,0.999,Don't care about the presents, don't care about the presents,NEGATIVE,0.9997,-0.9997,1,0.027777777777777776,0.999,77,0.9058823529411765,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-6.344605445861816,2.854513645172119
68,about,about,about,69,11,2,Verse 1,3,19,2,2,2,"[18, 69]","[('about', 'IN')]",PREP,POSITIVE,0.9686,Don't care about the presents, don't care about the presents,NEGATIVE,0.9997,-0.9997,1,0.027777777777777776,0.9686,27,0.3176470588235294,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,3.9061543941497803,-7.763644218444824
69,the,the,the,70,11,2,Verse 1,3,20,11,11,11,"[19, 22, 70, 73, 85, 152, 163, 214, 225, 231, 254]","[('the', 'DT')]",DET,POSITIVE,0.9636,Don't care about the presents, don't care about the presents,NEGATIVE,0.9997,-0.9997,1,0.027777777777777776,0.9636,25,0.29411764705882354,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,2.0489437580108643,-5.335299968719482
70,presents,presents,presents,71,11,2,Verse 1,3,21,2,2,2,"[20, 71]","[('presents', 'NNS')]",N,POSITIVE,0.9998,Don't care about the presents, don't care about the presents,NEGATIVE,0.9997,-0.9997,1,0.027777777777777776,0.9998,84,0.9882352941176471,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,0.19247843325138092,-6.240381717681885
71,Underneath,Underneath,underneath,72,12,2,Verse 1,4,22,3,3,3,"[21, 72, 151]","[('underneath', 'NN')]",N,POSITIVE,0.8644,Underneath the Christmas tree, underneath the christmas tree,POSITIVE,0.983,0.983,19,0.5277777777777778,0.8644,18,0.21176470588235294,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,2.015087366104126,-3.664314031600952
72,the,the,the,73,12,2,Verse 1,4,23,11,11,11,"[19, 22, 70, 73, 85, 152, 163, 214, 225, 231, 254]","[('the', 'DT')]",DET,POSITIVE,0.9636,Underneath the Christmas tree, underneath the christmas tree,POSITIVE,0.983,0.983,19,0.5277777777777778,0.9636,25,0.29411764705882354,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,2.0489437580108643,-5.335299968719482
73,Christmas,Christmas,christmas,74,12,2,Verse 1,4,24,16,13,13,"[7, 23, 47, 57, 74, 98, 124, 136, 207, 277, 323, 332, 341, 353, 362, 376]","[('christmas', 'NN')]",N,POSITIVE,0.9993,Underneath the Christmas tree, underneath the christmas tree,POSITIVE,0.983,0.983,19,0.5277777777777778,0.9993,80,0.9411764705882353,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-8.733607292175293,-5.057106971740723
74,tree,tree,tree,75,12,2,Verse 1,4,25,2,2,2,"[24, 75]","[('tree', 'NN')]",N,POSITIVE,0.9976,Underneath the Christmas tree, underneath the christmas tree,POSITIVE,0.983,0.983,19,0.5277777777777778,0.9976,66,0.7764705882352941,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-5.52816915512085,-5.159391403198242
75,I,I,I,76,13,2,Verse 1,5,26,33,27,26,"[1, 13, 15, 25, 44, 51, 63, 66, 76, 100, 121, 130, 137, 144, 154, 170, 182, 199, 204, 242, 256, 271, 285, 297, 320, 329, 338, 350, 359, 367, 373, 381, 384]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,I don't need to hang my stocking, I don't need to hang my stocking,NEGATIVE,0.7839,-0.7839,12,0.3333333333333333,0.9797,36,0.4235294117647059,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,3.4980101585388184,-2.9368908405303955
76,don't,don't,don't,77,13,2,Verse 1,5,27,6,6,6,"[2, 16, 52, 67, 77, 272]","[('do', 'VBP'), (""n't"", 'RB')]",MULT,NEGATIVE,0.9883,I don't need to hang my stocking, I don't need to hang my stocking,NEGATIVE,0.7839,-0.7839,12,0.3333333333333333,-0.9883,2,0.023529411764705882,neg_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-3.976262331008911,11.79769229888916
77,need,need,need,78,13,2,Verse 1,5,28,4,4,4,"[14, 64, 78, 258]","[('need', 'NN')]",N,NEGATIVE,0.5299,I don't need to hang my stocking, I don't need to hang my stocking,NEGATIVE,0.7839,-0.7839,12,0.3333333333333333,-0.5299,9,0.10588235294117647,neg_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-4.826800346374512,3.178907632827759
78,to,to,to,79,13,2,Verse 1,5,29,5,4,4,"[79, 162, 175, 191, 268]","[('to', 'TO')]",OTH,POSITIVE,0.9653,I don't need to hang my stocking, I don't need to hang my stocking,NEGATIVE,0.7839,-0.7839,12,0.3333333333333333,0.9653,26,0.3058823529411765,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,3.259397268295288,-9.626677513122559
79,hang,hang,hang,80,13,2,Verse 1,5,30,1,1,1,[80],"[('hang', 'NN')]",N,NEGATIVE,0.9987,I don't need to hang my stocking, I don't need to hang my stocking,NEGATIVE,0.7839,-0.7839,12,0.3333333333333333,-0.9987,0,0.0,neg_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-7.741903305053711,5.085754871368408
80,my,my,my,81,13,2,Verse 1,5,31,10,6,6,"[30, 39, 81, 105, 116, 266, 289, 294, 302, 313]","[('my', 'PRP$')]",PRON,POSITIVE,0.9935,I don't need to hang my stocking, I don't need to hang my stocking,NEGATIVE,0.7839,-0.7839,12,0.3333333333333333,0.9935,54,0.6352941176470588,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-0.6082924008369446,-1.6376217603683472
81,stocking,stocking,stocking,82,13,2,Verse 1,5,32,1,1,1,[82],"[('stocking', 'VBG')]",V,NEGATIVE,0.9986,I don't need to hang my stocking, I don't need to hang my stocking,NEGATIVE,0.7839,-0.7839,12,0.3333333333333333,-0.9986,1,0.011764705882352941,neg_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-7.994419574737549,-9.333002090454102
82,There,There,there,83,14,2,Verse 1,6,33,3,3,3,"[8, 58, 83]","[('there', 'RB')]",ADV,POSITIVE,0.9937,There upon the fireplace (Ah), there upon the fireplace ah,POSITIVE,0.9652,0.9652,17,0.4722222222222222,0.9937,55,0.6470588235294118,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,2.132260799407959,3.4673805236816406
83,upon,upon,upon,84,14,2,Verse 1,6,34,1,1,1,[84],"[('upon', 'IN')]",PREP,POSITIVE,0.9378,There upon the fireplace (Ah), there upon the fireplace ah,POSITIVE,0.9652,0.9652,17,0.4722222222222222,0.9378,24,0.2823529411764706,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,2.2958695888519287,-8.066717147827148
84,the,the,the,85,14,2,Verse 1,6,35,11,11,11,"[19, 22, 70, 73, 85, 152, 163, 214, 225, 231, 254]","[('the', 'DT')]",DET,POSITIVE,0.9636,There upon the fireplace (Ah), there upon the fireplace ah,POSITIVE,0.9652,0.9652,17,0.4722222222222222,0.9636,25,0.29411764705882354,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,2.0489437580108643,-5.335299968719482
85,fireplace,fireplace,fireplace,86,14,2,Verse 1,6,36,1,1,1,[86],"[('fireplace', 'NN')]",N,POSITIVE,0.9978,There upon the fireplace (Ah), there upon the fireplace ah,POSITIVE,0.9652,0.9652,17,0.4722222222222222,0.9978,67,0.788235294117647,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,1.198109745979309,-4.373427867889404
86,(Ah),Ah,ah,87,14,2,Verse 1,6,37,5,5,5,"[87, 169, 284, 345, 347]","[('ah', 'NN')]",N,POSITIVE,0.8809,There upon the fireplace (Ah), there upon the fireplace ah,POSITIVE,0.9652,0.9652,17,0.4722222222222222,0.8809,19,0.2235294117647059,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,2.5256364345550537,5.281802654266357
87,Santa,Santa,santa,88,15,2,Verse 1,7,38,2,2,2,"[88, 249]","[('santa', 'NN')]",N,POSITIVE,0.9988,Santa Claus won't make me happy, santa claus won't make me happy,NEGATIVE,0.9998,-0.9998,0,0.0,0.9988,75,0.8823529411764706,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-0.22254671156406403,-5.573456287384033
88,Claus,Claus,claus,89,15,2,Verse 1,7,39,1,1,1,[89],"[('claus', 'NN')]",N,POSITIVE,0.9961,Santa Claus won't make me happy, santa claus won't make me happy,NEGATIVE,0.9998,-0.9998,0,0.0,0.9961,60,0.7058823529411765,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,0.7595512866973877,-6.0453972816467285
89,won't,won't,won't,90,15,2,Verse 1,7,40,7,7,7,"[90, 131, 138, 155, 171, 250, 262]","[('wo', 'MD'), (""n't"", 'RB')]",MULT,NEGATIVE,0.9701,Santa Claus won't make me happy, santa claus won't make me happy,NEGATIVE,0.9998,-0.9998,0,0.0,-0.9701,4,0.047058823529411764,neg_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-3.9331889152526855,11.823307991027832
90,make,make,make,91,15,2,Verse 1,7,41,5,3,3,"[38, 91, 115, 156, 312]","[('make', 'VB')]",V,POSITIVE,0.9996,Santa Claus won't make me happy, santa claus won't make me happy,NEGATIVE,0.9998,-0.9998,0,0.0,0.9996,82,0.9647058823529412,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-4.343700408935547,7.995072364807129
91,me,me,me,92,15,2,Verse 1,7,42,4,3,3,"[92, 192, 253, 269]","[('me', 'PRP')]",PRON,POSITIVE,0.9947,Santa Claus won't make me happy, santa claus won't make me happy,NEGATIVE,0.9998,-0.9998,0,0.0,0.9947,57,0.6705882352941176,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-1.9695935249328613,-2.2253599166870117
92,happy,happy,happy,93,15,2,Verse 1,7,43,1,1,1,[93],"[('happy', 'JJ')]",ADJ,POSITIVE,0.9999,Santa Claus won't make me happy, santa claus won't make me happy,NEGATIVE,0.9998,-0.9998,0,0.0,0.9999,85,1.0,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-4.480406284332275,0.15007473528385162
93,With,With,with,94,16,2,Verse 1,8,44,1,1,1,[94],"[('with', 'IN')]",PREP,POSITIVE,0.9826,With a toy on Christmas Day, with a toy on christmas day,POSITIVE,0.9913,0.9913,22,0.6111111111111112,0.9826,39,0.4588235294117647,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,1.418869972229004,-7.316568851470947
94,a,a,a,95,16,2,Verse 1,8,45,5,5,5,"[4, 54, 95, 157, 274]","[('a', 'DT')]",DET,POSITIVE,0.9873,With a toy on Christmas Day, with a toy on christmas day,POSITIVE,0.9913,0.9913,22,0.6111111111111112,0.9873,43,0.5058823529411764,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,5.8534393310546875,-9.708706855773926
95,toy,toy,toy,96,16,2,Verse 1,8,46,1,1,1,[96],"[('toy', 'NN')]",N,POSITIVE,0.8216,With a toy on Christmas Day, with a toy on christmas day,POSITIVE,0.9913,0.9913,22,0.6111111111111112,0.8216,15,0.17647058823529413,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-1.75692617893219,-5.612092018127441
96,on,on,on,97,16,2,Verse 1,8,47,3,2,2,"[97, 149, 190]","[('on', 'IN')]",PREP,POSITIVE,0.987,With a toy on Christmas Day, with a toy on christmas day,POSITIVE,0.9913,0.9913,22,0.6111111111111112,0.987,42,0.49411764705882355,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,1.9006556272506714,-7.867314338684082
97,Christmas,Christmas,christmas,98,16,2,Verse 1,8,48,16,13,13,"[7, 23, 47, 57, 74, 98, 124, 136, 207, 277, 323, 332, 341, 353, 362, 376]","[('christmas', 'NN')]",N,POSITIVE,0.9993,With a toy on Christmas Day, with a toy on christmas day,POSITIVE,0.9913,0.9913,22,0.6111111111111112,0.9993,80,0.9411764705882353,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-8.733607292175293,-5.057106971740723
98,Day,Day,day,99,16,2,Verse 1,8,49,1,1,1,[99],"[('day', 'NN')]",N,POSITIVE,0.9957,With a toy on Christmas Day, with a toy on christmas day,POSITIVE,0.9913,0.9913,22,0.6111111111111112,0.9957,59,0.6941176470588235,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-6.896707534790039,-5.828141212463379
99,I,I,I,100,17,3,Chorus,1,1,33,27,26,"[1, 13, 15, 25, 44, 51, 63, 66, 76, 100, 121, 130, 137, 144, 154, 170, 182, 199, 204, 242, 256, 271, 285, 297, 320, 329, 338, 350, 359, 367, 373, 381, 384]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,I just want you for my own (Ooh), I just want you for my own ooh,POSITIVE,0.9993,0.9993,32,0.8888888888888888,0.9797,36,0.4235294117647059,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,3.4980101585388184,-2.9368908405303955
100,just,just,just,101,17,3,Chorus,1,2,8,5,5,"[10, 26, 60, 101, 146, 183, 286, 298]","[('just', 'RB')]",ADV,POSITIVE,0.8226,I just want you for my own (Ooh), I just want you for my own ooh,POSITIVE,0.9993,0.9993,32,0.8888888888888888,0.8226,16,0.18823529411764706,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,5.636667251586914,1.2784091234207153
101,want,want,want,102,17,3,Chorus,1,3,19,13,13,"[3, 27, 45, 53, 102, 122, 184, 205, 273, 299, 321, 330, 339, 351, 360, 369, 374, 382, 386]","[('want', 'NN')]",N,POSITIVE,0.987,I just want you for my own (Ooh), I just want you for my own ooh,POSITIVE,0.9993,0.9993,32,0.8888888888888888,0.987,42,0.49411764705882355,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-4.747140407562256,3.3684213161468506
102,you,you,you,103,17,3,Chorus,1,4,24,14,14,"[28, 34, 49, 103, 110, 126, 127, 185, 209, 210, 251, 263, 300, 307, 325, 326, 334, 336, 343, 355, 357, 364, 378, 388]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,I just want you for my own (Ooh), I just want you for my own ooh,POSITIVE,0.9993,0.9993,32,0.8888888888888888,0.9991,78,0.9176470588235294,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-2.6561949253082275,-1.8547890186309814
103,for,for,for,104,17,3,Chorus,1,5,19,14,14,"[6, 29, 46, 56, 104, 123, 133, 141, 166, 206, 276, 283, 301, 322, 331, 340, 352, 361, 375]","[('for', 'IN')]",PREP,POSITIVE,0.9701,I just want you for my own (Ooh), I just want you for my own ooh,POSITIVE,0.9993,0.9993,32,0.8888888888888888,0.9701,28,0.32941176470588235,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,6.148812294006348,-6.937467098236084
104,my,my,my,105,17,3,Chorus,1,6,10,6,6,"[30, 39, 81, 105, 116, 266, 289, 294, 302, 313]","[('my', 'PRP$')]",PRON,POSITIVE,0.9935,I just want you for my own (Ooh), I just want you for my own ooh,POSITIVE,0.9993,0.9993,32,0.8888888888888888,0.9935,54,0.6352941176470588,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-0.6082924008369446,-1.6376217603683472
105,own,own,own,106,17,3,Chorus,1,7,3,1,1,"[31, 106, 303]","[('own', 'JJ')]",ADJ,POSITIVE,0.9987,I just want you for my own (Ooh), I just want you for my own ooh,POSITIVE,0.9993,0.9993,32,0.8888888888888888,0.9987,74,0.8705882352941177,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-0.600689172744751,-3.6044297218322754
106,(Ooh),Ooh,ooh,107,17,3,Chorus,1,8,7,1,1,"[107, 114, 188, 195, 304, 311, 371]","[('ooh', 'NN')]",N,POSITIVE,0.9856,I just want you for my own (Ooh), I just want you for my own ooh,POSITIVE,0.9993,0.9993,32,0.8888888888888888,0.9856,41,0.4823529411764706,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,2.8833465576171875,6.231207370758057
107,More,More,more,108,18,3,Chorus,2,9,4,1,1,"[32, 108, 197, 305]","[('more', 'RBR')]",ADV,POSITIVE,0.9969,More than you could ever know (Ooh), more than you could ever know ooh,POSITIVE,0.9979,0.9979,29,0.8055555555555556,0.9969,62,0.7294117647058823,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,7.5440754890441895,-3.1893484592437744
108,than,than,than,109,18,3,Chorus,2,10,3,1,1,"[33, 109, 306]","[('than', 'IN')]",PREP,POSITIVE,0.9804,More than you could ever know (Ooh), more than you could ever know ooh,POSITIVE,0.9979,0.9979,29,0.8055555555555556,0.9804,37,0.43529411764705883,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-10.533031463623047,2.2100679874420166
109,you,you,you,110,18,3,Chorus,2,11,24,14,14,"[28, 34, 49, 103, 110, 126, 127, 185, 209, 210, 251, 263, 300, 307, 325, 326, 334, 336, 343, 355, 357, 364, 378, 388]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,More than you could ever know (Ooh), more than you could ever know ooh,POSITIVE,0.9979,0.9979,29,0.8055555555555556,0.9991,78,0.9176470588235294,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-2.6561949253082275,-1.8547890186309814
110,could,could,could,111,18,3,Chorus,2,12,3,1,1,"[35, 111, 308]","[('could', 'MD')]",V,POSITIVE,0.8509,More than you could ever know (Ooh), more than you could ever know ooh,POSITIVE,0.9979,0.9979,29,0.8055555555555556,0.8509,17,0.2,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,1.3069301843643188,10.398226737976074
111,ever,ever,ever,112,18,3,Chorus,2,13,3,1,1,"[36, 112, 309]","[('ever', 'RB')]",ADV,POSITIVE,0.997,More than you could ever know (Ooh), more than you could ever know ooh,POSITIVE,0.9979,0.9979,29,0.8055555555555556,0.997,63,0.7411764705882353,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,7.0739359855651855,-0.9631338119506836
112,know,know,know,113,18,3,Chorus,2,14,3,1,1,"[37, 113, 310]","[('know', 'VB')]",V,POSITIVE,0.9948,More than you could ever know (Ooh), more than you could ever know ooh,POSITIVE,0.9979,0.9979,29,0.8055555555555556,0.9948,58,0.6823529411764706,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,0.7088367342948914,-11.155006408691406
113,(Ooh),Ooh,ooh,114,18,3,Chorus,2,15,7,1,1,"[107, 114, 188, 195, 304, 311, 371]","[('ooh', 'NN')]",N,POSITIVE,0.9856,More than you could ever know (Ooh), more than you could ever know ooh,POSITIVE,0.9979,0.9979,29,0.8055555555555556,0.9856,41,0.4823529411764706,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,2.8833465576171875,6.231207370758057
114,Make,Make,make,115,19,3,Chorus,3,16,5,3,3,"[38, 91, 115, 156, 312]","[('make', 'VB')]",V,POSITIVE,0.9996,Make my wish come true, make my wish come true,POSITIVE,0.9935,0.9935,24,0.6666666666666666,0.9996,82,0.9647058823529412,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-4.343700408935547,7.995072364807129
115,my,my,my,116,19,3,Chorus,3,17,10,6,6,"[30, 39, 81, 105, 116, 266, 289, 294, 302, 313]","[('my', 'PRP$')]",PRON,POSITIVE,0.9935,Make my wish come true, make my wish come true,POSITIVE,0.9935,0.9935,24,0.6666666666666666,0.9935,54,0.6352941176470588,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-0.6082924008369446,-1.6376217603683472
116,wish,wish,wish,117,19,3,Chorus,3,18,4,2,2,"[40, 117, 140, 314]","[('wish', 'NN')]",N,POSITIVE,0.9715,Make my wish come true, make my wish come true,POSITIVE,0.9935,0.9935,24,0.6666666666666666,0.9715,31,0.36470588235294116,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-5.734954357147217,3.4373152256011963
117,come,come,come,118,19,3,Chorus,3,19,3,1,1,"[41, 118, 315]","[('come', 'VB')]",V,POSITIVE,0.9984,Make my wish come true, make my wish come true,POSITIVE,0.9935,0.9935,24,0.6666666666666666,0.9984,72,0.8470588235294118,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-5.6230034828186035,6.7775654792785645
118,true,true,true,119,19,3,Chorus,3,20,3,1,1,"[42, 119, 316]","[('true', 'JJ')]",ADJ,POSITIVE,0.9999,Make my wish come true, make my wish come true,POSITIVE,0.9935,0.9935,24,0.6666666666666666,0.9999,85,1.0,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,4.494419574737549,3.0732946395874023
119,All,All,all,120,20,3,Chorus,4,21,14,11,11,"[43, 120, 203, 213, 280, 319, 328, 337, 349, 358, 366, 372, 380, 383]","[('all', 'DT')]",DET,POSITIVE,0.9903,All I want for Christmas is you, all I want for christmas is you,POSITIVE,0.9979,0.9979,29,0.8055555555555556,0.9903,47,0.5529411764705883,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,5.911248683929443,-0.37395790219306946
120,I,I,I,121,20,3,Chorus,4,22,33,27,26,"[1, 13, 15, 25, 44, 51, 63, 66, 76, 100, 121, 130, 137, 144, 154, 170, 182, 199, 204, 242, 256, 271, 285, 297, 320, 329, 338, 350, 359, 367, 373, 381, 384]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,All I want for Christmas is you, all I want for christmas is you,POSITIVE,0.9979,0.9979,29,0.8055555555555556,0.9797,36,0.4235294117647059,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,3.4980101585388184,-2.9368908405303955
121,want,want,want,122,20,3,Chorus,4,23,19,13,13,"[3, 27, 45, 53, 102, 122, 184, 205, 273, 299, 321, 330, 339, 351, 360, 369, 374, 382, 386]","[('want', 'NN')]",N,POSITIVE,0.987,All I want for Christmas is you, all I want for christmas is you,POSITIVE,0.9979,0.9979,29,0.8055555555555556,0.987,42,0.49411764705882355,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-4.747140407562256,3.3684213161468506
122,for,for,for,123,20,3,Chorus,4,24,19,14,14,"[6, 29, 46, 56, 104, 123, 133, 141, 166, 206, 276, 283, 301, 322, 331, 340, 352, 361, 375]","[('for', 'IN')]",PREP,POSITIVE,0.9701,All I want for Christmas is you, all I want for christmas is you,POSITIVE,0.9979,0.9979,29,0.8055555555555556,0.9701,28,0.32941176470588235,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,6.148812294006348,-6.937467098236084
123,Christmas,Christmas,christmas,124,20,3,Chorus,4,25,16,13,13,"[7, 23, 47, 57, 74, 98, 124, 136, 207, 277, 323, 332, 341, 353, 362, 376]","[('christmas', 'NN')]",N,POSITIVE,0.9993,All I want for Christmas is you, all I want for christmas is you,POSITIVE,0.9979,0.9979,29,0.8055555555555556,0.9993,80,0.9411764705882353,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-8.733607292175293,-5.057106971740723
124,is,is,is,125,20,3,Chorus,4,26,14,11,11,"[9, 48, 59, 125, 208, 238, 279, 324, 333, 342, 354, 363, 377, 387]","[('is', 'VBZ')]",V,POSITIVE,0.9275,All I want for Christmas is you, all I want for christmas is you,POSITIVE,0.9979,0.9979,29,0.8055555555555556,0.9275,23,0.27058823529411763,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,3.536557912826538,-11.414331436157227
125,you,you,you,126,20,3,Chorus,4,27,24,14,14,"[28, 34, 49, 103, 110, 126, 127, 185, 209, 210, 251, 263, 300, 307, 325, 326, 334, 336, 343, 355, 357, 364, 378, 388]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,All I want for Christmas is you, all I want for christmas is you,POSITIVE,0.9979,0.9979,29,0.8055555555555556,0.9991,78,0.9176470588235294,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-2.6561949253082275,-1.8547890186309814
126,"You,",You,you,127,21,3,Chorus,5,28,24,14,14,"[28, 34, 49, 103, 110, 126, 127, 185, 209, 210, 251, 263, 300, 307, 325, 326, 334, 336, 343, 355, 357, 364, 378, 388]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,"You, baby", you baby,POSITIVE,0.9993,0.9993,32,0.8888888888888888,0.9991,78,0.9176470588235294,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-2.6561949253082275,-1.8547890186309814
127,baby,baby,baby,128,21,3,Chorus,5,29,14,10,10,"[128, 202, 211, 223, 267, 290, 318, 327, 335, 344, 356, 365, 370, 379]","[('baby', 'NN')]",N,POSITIVE,0.9969,"You, baby", you baby,POSITIVE,0.9993,0.9993,32,0.8888888888888888,0.9969,62,0.7294117647058823,pos_word_pos_line,All I Want for Christmas Is You,Mariah Carey,-3.061621904373169,-3.1622283458709717
128,"Oh,",Oh,oh,129,22,4,Verse 2,1,1,14,11,11,"[129, 201, 212, 233, 234, 240, 248, 260, 261, 270, 296, 317, 346, 348]","[('oh', 'NN')]",N,POSITIVE,0.9807,"Oh, I won't ask for much this Christmas", oh I won't ask for much this christmas,NEGATIVE,0.9737,-0.9737,7,0.19444444444444445,0.9807,38,0.4470588235294118,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,2.5728187561035156,5.208672523498535
129,I,I,I,130,22,4,Verse 2,1,2,33,27,26,"[1, 13, 15, 25, 44, 51, 63, 66, 76, 100, 121, 130, 137, 144, 154, 170, 182, 199, 204, 242, 256, 271, 285, 297, 320, 329, 338, 350, 359, 367, 373, 381, 384]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,"Oh, I won't ask for much this Christmas", oh I won't ask for much this christmas,NEGATIVE,0.9737,-0.9737,7,0.19444444444444445,0.9797,36,0.4235294117647059,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,3.4980101585388184,-2.9368908405303955
130,won't,won't,won't,131,22,4,Verse 2,1,3,7,7,7,"[90, 131, 138, 155, 171, 250, 262]","[('wo', 'MD'), (""n't"", 'RB')]",MULT,NEGATIVE,0.9701,"Oh, I won't ask for much this Christmas", oh I won't ask for much this christmas,NEGATIVE,0.9737,-0.9737,7,0.19444444444444445,-0.9701,4,0.047058823529411764,neg_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-3.9331889152526855,11.823307991027832
131,ask,ask,ask,132,22,4,Verse 2,1,4,1,1,1,[132],"[('ask', 'NN')]",N,POSITIVE,0.6912,"Oh, I won't ask for much this Christmas", oh I won't ask for much this christmas,NEGATIVE,0.9737,-0.9737,7,0.19444444444444445,0.6912,12,0.1411764705882353,pos_word_neg_line,All I Want for Christmas Is You,Mariah Carey,-2.6021900177001953,8.284795761108398
