,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,m_w_definition,m_w_synonyms,m_w_synonyms_in_data,m_w_antonyms,m_w_antonyms_in_data,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,tsne_x,tsne_y
156,Let,Let,let,157,18,3,Verse 1: Will Smith,14,124,3,3,3,"[52, 157, 555]","[('let', 'VB')]",V,NEGATIVE,0.7554,"['to cause to : make', 'to give opportunity to or fail to prevent', '—used in the imperative to introduce a request or proposal']","[['allow', 'leave', 'permit'], ['lease', 'rent'], ['allow', 'empower', 'enable', 'permit'], ['allow', 'permit', 'suffer', 'tolerate']]",[],"[['enjoin', 'forbid', 'prohibit'], ['prevent'], ['bar', 'block', 'constrain', 'prevent']]",[], let me be a good daddy all he needs,POSITIVE,0.9993,0.9993,47,0.9038461538461539,-0.7554,45,0.2556818181818182,-4.2475605,-17.250134
157,me,me,me,158,18,3,Verse 1: Will Smith,14,125,8,8,8,"[97, 158, 231, 234, 242, 303, 364, 470]","[('me', 'PRP')]",PRON,POSITIVE,0.9947,[],"[['approaching', 'approximating', 'close', 'coextensive', 'coincident', 'conformable', 'conforming', 'consistent', 'consonant', 'duplicate', 'equal', 'fungible', 'interchangeable', 'redundant', 'selfsame', 'substitutable', 'twin', 'cognate', 'connate', 'ditto', 'resemblant', 'resembling', 'coequal', 'duplicate', 'equal', 'even', 'identical', 'indistinguishable', 'same', 'akin', 'alike', 'analogous', 'comparable', 'coordinate', 'correspondent', 'corresponding', 'equivalent', 'like', 'look-alike', 'matching', 'parallel', 'similar', 'such', 'suchlike', 'synonymous', 'tantamount']]",['like'],"[['antonymic', 'antonymous', 'different', 'disparate', 'dissimilar', 'distant', 'distinct', 'distinctive', 'distinguishable', 'diverse', 'nonidentical', 'other', 'unalike', 'unlike', 'antipodal', 'antipodean', 'antithetical', 'contradictory', 'contrary', 'diametric', 'opposite', 'polar', 'differentiable', 'discriminable']]",['opposite'], let me be a good daddy all he needs,POSITIVE,0.9993,0.9993,47,0.9038461538461539,0.9947,137,0.7784090909090909,-21.695293,11.838188
158,be,be,be,159,18,3,Verse 1: Will Smith,14,126,10,10,10,"[64, 72, 159, 239, 258, 295, 301, 331, 441, 492]","[('be', 'VB')]",V,POSITIVE,0.9620000000000001,"['to equal in meaning : have the same connotation as : symbolize', 'to have identity with : to constitute the same idea or object as', 'to constitute the same class as']","[['breathe', 'exist', 'live', 'subsist'], ['bear', 'lie', 'sit', 'stand'], ['grade', 'place', 'rank', 'rate', 'stand'], ['befall', 'betide', 'chance', 'come', 'come about', 'come down', 'come off', 'cook', 'do', 'go down', 'go on', 'hap', 'happen', 'occur', 'pass', 'transpire']]","['place', 'come', 'do']","[['depart', 'die', 'expire', 'pass away', 'perish', 'succumb']]",[], let me be a good daddy all he needs,POSITIVE,0.9993,0.9993,47,0.9038461538461539,0.9620000000000001,83,0.4715909090909091,-9.649062,-16.18073
159,a,a,a,160,18,3,Verse 1: Will Smith,14,127,12,12,12,"[5, 82, 160, 229, 259, 261, 264, 296, 332, 437, 442, 646]","[('a', 'DT')]",DET,POSITIVE,0.9873,"['the 1st letter of the English alphabet', 'a graphic representation of this letter', 'a speech counterpart of orthographic a']","[['au courant', 'chic', 'cool', 'exclusive', 'fashionable', 'fresh', 'happening', 'hip', 'in', 'modish', 'sharp', 'smart', 'snappy', 'stylish', 'supercool', 'swell', 'swish', 'trendy', 'voguish']]",['in'],"[['dowdy', 'out', 'outmoded', 'styleless', 'unchic', 'uncool', 'unfashionable', 'unmodish', 'unstylish']]",['out'], let me be a good daddy all he needs,POSITIVE,0.9993,0.9993,47,0.9038461538461539,0.9873,115,0.6534090909090909,22.040457,-5.178974
160,good,good,good,161,18,3,Verse 1: Will Smith,14,128,3,3,3,"[161, 443, 647]","[('good', 'JJ')]",ADJ,POSITIVE,0.9998,"['of a favorable character or tendency', 'bountiful, fertile', 'handsome, attractive']","[['commonsense', 'commonsensible', 'commonsensical', 'firm', 'hard', 'informed', 'just', 'justified', 'levelheaded', 'logical', 'rational', 'reasonable', 'reasoned', 'sensible', 'sober', 'solid', 'valid', 'well-founded'], ['all right', 'decent', 'ethical', 'honest', 'honorable', 'just', 'moral', 'nice', 'right', 'righteous', 'right-minded', 'straight', 'true', 'upright', 'virtuous'], ['analytic', 'coherent', 'consequent', 'logical', 'rational', 'reasonable', 'sensible', 'sound', 'valid', 'well-founded', 'well-grounded'], ['agreeable', 'all right', 'alright', 'copacetic', 'ducky', 'fine', 'hunky-dory', 'jake', 'OK', 'palatable', 'satisfactory'], ['admiring', 'applauding', 'appreciative', 'approbatory', 'approving', 'commendatory', 'complimentary', 'favorable', 'friendly', 'positive'], ['constant', 'dedicated', 'devoted', 'devout', 'down-the-line', 'faithful', 'fast', 'loyal', 'pious', 'staunch', 'steadfast', 'steady', 'true', 'true-blue'], ['agreeable', 'blessed', 'congenial', 'darling', 'delectable', 'delicious', 'delightful', 'delightsome', 'dreamy', 'dulcet', 'enjoyable', 'felicitous', 'grateful', 'gratifying', 'heavenly', 'jolly', 'luscious', 'nice', 'palatable', 'pleasant', 'pleasing', 'pleasurable', 'pretty', 'satisfying', 'savory', 'sweet', 'tasty', 'welcome'], ['accomplished', 'ace', 'adept', 'compleat', 'complete', 'consummate', 'crack', 'crackerjack', 'educated', 'experienced', 'expert', 'great', 'master', 'masterful', 'masterly', 'practiced', 'professed', 'proficient', 'skilled', 'skillful', 'versed', 'veteran', 'virtuoso'], ['deserving', 'meritorious', 'worthy'], ['able', 'capable', 'competent', 'equal', 'fit', 'qualified', 'suitable'], ['applicable', 'appropriate', 'apt', 'becoming', 'befitting', 'felicitous', 'fit', 'fitted', 'fitting', 'happy', 'meet', 'pretty', 'proper', 'right', 'suitable'], ['biggish', 'considerable', 'goodly', 'handsome', 'healthy', 'largish', 'major', 'respectable', 'significant', 'sizable', 'substantial', 'substantive', 'tidy'], ['calculable', 'dependable', 'reliable', 'responsible', 'safe', 'secure', 'solid', 'steady', 'sure', 'tried', 'tried-and-true', 'true', 'trustable', 'trustworthy', 'trusty'], ['accurate', 'bang on', 'correct', 'dead-on', 'exact', 'on-target', 'precise', 'proper', 'right', 'so', 'spot-on', 'true', 'veracious'], ['aesthetic', 'attractive', 'beauteous', 'beautiful', 'bonny', 'comely', 'cute', 'drop-dead', 'fair', 'fetching', 'good-looking', 'goodly', 'gorgeous', 'handsome', 'knockout', 'likely', 'lovely', 'lovesome', 'pretty', 'ravishing', 'seemly', 'sightly', 'stunning', 'taking', 'well-favored'], ['healthful', 'healthy', 'medicinal', 'restorative', 'salubrious', 'salutary', 'salutiferous', 'sanative', 'tonic', 'wholesome'], ['altruistic', 'beneficent', 'benevolent', 'charitable', 'do-good', 'eleemosynary', 'humanitarian', 'philanthropic'], ['acceptable', 'adequate', 'all right', 'decent', 'fairish', 'fine', 'OK', 'passable', 'respectable', 'satisfactory', 'serviceable', 'tolerable'], ['advantageous', 'benefic', 'beneficent', 'beneficial', 'benignant', 'favorable', 'friendly', 'helpful', 'kindly', 'profitable', 'salutary']]","['just', 'right', 'true', 'fast', 'meet', 'safe', 'so']","[['groundless', 'illogical', 'invalid', 'irrational', 'nonrational', 'nonsensical', 'nonvalid', 'unfounded', 'uninformed', 'unjustified', 'unreasonable', 'unreasoned', 'unsound'], ['bad', 'black', 'dishonest', 'dishonorable', 'evil', 'evil-minded', 'immoral', 'indecent', 'sinful', 'unethical', 'unrighteous', 'wicked', 'wrong'], ['illegitimate', 'illogical', 'incoherent', 'inconsequent', 'inconsequential', 'invalid', 'irrational', 'unreasonable', 'unsound', 'weak'], ['disagreeable', 'unsatisfactory'], ['adverse', 'depreciative', 'depreciatory', 'derogatory', 'disapproving', 'inappreciative', 'negative', 'unappreciative', 'uncomplimentary', 'unfavorable', 'unflattering', 'unfriendly'], ['disloyal', 'faithless', 'false', 'fickle', 'inconstant', 'perfidious', 'recreant', 'traitorous', 'treacherous', 'unfaithful', 'untrue'], ['disagreeable', 'pleasureless', 'unpalatable', 'unpleasant', 'unwelcome'], ['amateur', 'amateurish', 'inexperienced', 'inexpert', 'jackleg', 'unprofessional', 'unseasoned', 'unskilled', 'unskillful'], ['no-good', 'undeserving', 'valueless', 'worthless'], ['incompetent', 'inept', 'poor', 'unfit', 'unfitted', 'unqualified'], ['improper', 'inapplicable', 'inapposite', 'inappropriate', 'inapt', 'incongruous', 'indecent', 'infelicitous', 'malapropos', 'misbecoming', 'unapt', 'unbecoming', 'unbeseeming', 'unfit', 'unfitting', 'unhappy', 'unmeet', 'unseemly', 'unsuitable', 'wrong'], ['inconsequential', 'inconsiderable', 'insignificant', 'insubstantial', 'negligible', 'nominal'], ['dodgy', 'uncertain', 'undependable', 'unreliable', 'unsafe', 'untrustworthy'], ['false', 'improper', 'inaccurate', 'incorrect', 'inexact', 'off', 'untrue', 'wrong'], ['grotesque', 'hideous', 'homely', 'ill-favored', 'plain', 'ugly', 'unaesthetic', 'unattractive', 'unbeautiful', 'uncomely', 'uncute', 'unhandsome', 'unlovely', 'unpleasing', 'unpretty', 'unsightly'], ['insalubrious', 'noxious', 'unhealthful', 'unhealthy', 'unwholesome'], ['self-centered', 'self-concerned', 'selfish'], ['deficient', 'inadequate', 'insufficient', 'lacking', 'unacceptable', 'unsatisfactory', 'wanting'], ['bad', 'disadvantageous', 'unfavorable', 'unfriendly', 'unhelpful', 'unprofitable']]","['bad', 'wrong', 'off']", let me be a good daddy all he needs,POSITIVE,0.9993,0.9993,47,0.9038461538461539,0.9998,175,0.9943181818181818,-3.9112859,15.429582
161,"daddy,",daddy,daddy,162,18,3,Verse 1: Will Smith,14,129,1,1,1,[162],"[('daddy', 'NN')]",N,POSITIVE,0.9927,"['father', 'granddaddy']","[['dad', 'father', 'old man', 'pa', 'papa', 'pater', 'pop', 'sire'], ['ancestor', 'antecedent', 'archetype', 'foregoer', 'forerunner', 'granddaddy', 'precursor', 'predecessor', 'prototype']]",['dad'],[['descendant']],[], let me be a good daddy all he needs,POSITIVE,0.9993,0.9993,47,0.9038461538461539,0.9927,126,0.7159090909090909,-8.290904,10.834919
162,all,all,all,163,18,3,Verse 1: Will Smith,14,130,4,4,4,"[94, 163, 251, 271]","[('all', 'DT')]",DET,POSITIVE,0.9903,"['the whole amount, quantity, or extent of', 'as much as possible', 'every member or individual component of']","[['all of', 'all over', 'altogether', 'clean', 'completely', 'dead', 'enough', 'entire', 'entirely', 'even', 'exactly', 'fast', 'flat', 'full', 'fully', 'heartily', 'out', 'perfectly', 'plumb', 'quite', 'soundly', 'thoroughly', 'through and through', 'totally', 'utterly', 'well', 'wholly', 'wide'], ['apiece', 'each', 'per', 'per capita']]","['enough', 'fast', 'out']","[['half', 'halfway', 'incompletely', 'part', 'partially', 'partly']]",[], let me be a good daddy all he needs,POSITIVE,0.9993,0.9993,47,0.9038461538461539,0.9903,120,0.6818181818181818,7.8123784,11.457641
163,he,he,he,164,18,3,Verse 1: Will Smith,14,131,1,1,1,[164],"[('he', 'PRP')]",PRON,POSITIVE,0.9707,"['that male one who is neither speaker nor hearer', '—used in a generic sense or when the gender of the person is unspecified']","[['individualist', 'achiever', 'comer', 'doer', 'enterpriser', 'eager beaver', 'bootstrapper', 'go-ahead', 'go-getter', 'highflier', 'hummer', 'hustler', 'live wire', 'powerhouse', 'self-starter']]",[],"[['dawdler', 'idler', 'loafer', 'lounger', 'putterer', 'trifler', 'goldbrick', 'malingerer', 'procrastinator', 'shirker', 'slacker', 'drone', 'lazybones', 'sluggard', 'dallier', 'laggard', 'lingerer', 'loiterer', 'slowpoke', 'stick-in-the-mud', 'ignorer', ""ne'er-do-well"", 'neglecter', 'daydreamer', 'dreamer', 'dropout', 'quitter']]",[], let me be a good daddy all he needs,POSITIVE,0.9993,0.9993,47,0.9038461538461539,0.9707,91,0.5170454545454546,17.290804,4.2671814
164,needs,needs,needs,165,18,3,Verse 1: Will Smith,14,132,1,1,1,[165],"[('needs', 'NNS')]",N,NEGATIVE,0.8997,['of necessity : necessarily'],"[['ineluctably', 'inescapably', 'inevitably', 'ipso facto', 'necessarily', 'perforce', 'unavoidably']]",[],[],[], let me be a good daddy all he needs,POSITIVE,0.9993,0.9993,47,0.9038461538461539,-0.8997,39,0.2215909090909091,-2.8113985,-6.903308
165,"Love,",Love,love,166,19,3,Verse 1: Will Smith,15,133,3,3,3,"[166, 378, 597]","[('love', 'NN')]",N,POSITIVE,0.9999,"['strong affection for another arising out of kinship or personal ties', 'attraction based on sexual desire : affection and tenderness felt by lovers', 'affection based on admiration, benevolence, or common interests']","[['appreciate', 'cherish', 'prize', 'treasure', 'value'], ['adore', 'cherish', 'worship'], ['adore', 'delight (in)', 'dig', 'enjoy', 'fancy', 'get off (on)', 'groove (on)', 'like', 'rejoice (in)', 'relish', 'revel (in)', 'savor'], ['caress', 'fondle', 'gentle', 'pat', 'pet', 'stroke']]",['like'],"[['disvalue'], ['abhor', 'abominate', 'despise', 'detest', 'execrate', 'hate', 'loathe']]",['hate'], love knowledge discipline too,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9999,176,1.0,-13.134906,-5.1345153
166,"knowledge,",knowledge,knowledge,167,19,3,Verse 1: Will Smith,15,134,1,1,1,[167],"[('knowledge', 'NN')]",N,POSITIVE,0.9996,"['the fact or condition of knowing something with familiarity gained through experience or association', 'acquaintance with or understanding of a science, art, or technique', 'the fact or condition of being aware of something']","[['lore', 'science', 'wisdom'], ['education', 'erudition', 'learnedness', 'learning', 'literacy', 'scholarship'], ['advertence', 'advertency', 'attention', 'awareness', 'cognizance', 'consciousness', 'ear', 'eye', 'heed', 'mindfulness', 'note', 'notice', 'observance', 'observation']]",[],"[['ignorance', 'illiteracy', 'illiterateness']]",[], love knowledge discipline too,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9996,173,0.9829545454545454,-9.931294,3.8899345
167,discipline,discipline,discipline,168,19,3,Verse 1: Will Smith,15,135,1,1,1,[168],"[('discipline', 'NN')]",N,POSITIVE,0.9988,"['control gained by enforcing obedience or order', 'orderly or prescribed conduct or pattern of behavior', 'self-control']","[['area', 'arena', 'bailiwick', 'barony', 'business', 'circle', 'demesne', 'department', 'domain', 'element', 'fief', 'fiefdom', 'field', 'firmament', 'front', 'game', 'kingdom', 'line', 'precinct', 'province', 'realm', 'specialty', 'sphere', 'terrain', 'walk'], ['castigation', 'chastisement', 'comeuppance', 'correction', 'desert(s)', 'nemesis', 'penalty', 'punishment', 'wrath'], ['constraint', 'continence', 'discretion', 'inhibition', 'refrainment', 'repression', 'reserve', 'restraint', 'self-command', 'self-control', 'self-restraint', 'suppression']]",['line'],"[['disinhibition', 'incontinence', 'unconstraint']]",[], love knowledge discipline too,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9988,165,0.9375,-11.89534,0.6049184
168,too,too,too,169,19,3,Verse 1: Will Smith,15,136,2,2,2,"[169, 571]","[('too', 'RB')]",ADV,NEGATIVE,0.9357,"['besides, also', 'to an excessive degree : excessively', 'to such a degree as to be regrettable']","[['devilishly', 'excessively', 'exorbitantly', 'inordinately', 'intolerably', 'monstrously', 'overly', 'overmuch', 'unacceptably', 'unduly'], ['additionally', 'again', 'also', 'besides', 'either', 'further', 'furthermore', 'likewise', 'more', 'moreover', 'then', 'withal', 'yet'], ['achingly', 'almighty', 'archly', 'awful', 'awfully', 'badly', 'beastly', 'blisteringly', 'bone', 'colossally', 'corking', 'cracking', 'damn', 'damned', 'dang', 'deadly', 'desperately', 'eminently', 'enormously', 'especially', 'ever', 'exceedingly', 'extra', 'extremely', 'fabulously', 'fantastically', 'far', 'fiercely', 'filthy', 'frightfully', 'full', 'greatly', 'heavily', 'highly', 'hugely', 'immensely', 'incredibly', 'intensely', 'jolly', 'majorly', 'mightily', 'mighty', 'monstrous', 'mortally', 'most', 'much', 'particularly', 'passing', 'rattling', 'real', 'really', 'right', 'roaring', 'roaringly', 'seriously', 'severely', 'so', 'sore', 'sorely', 'spanking', 'specially', 'stinking', 'such', 'super', 'supremely', 'surpassingly', 'terribly', 'that', 'thumping', 'unco', 'uncommonly', 'vastly', 'very', 'vitally', 'way', 'whacking', 'wicked', 'wildly']]","['more', 'then', 'much', 'right', 'so', 'that', 'very']","[['deficiently', 'inadequately', 'insufficiently'], ['little', 'negligibly', 'nominally', 'slightly', 'somewhat']]",['little'], love knowledge discipline too,POSITIVE,0.9996,0.9996,49,0.9423076923076923,-0.9357,37,0.21022727272727273,4.0787272,11.941181
169,I,I,I,170,20,3,Verse 1: Will Smith,16,137,30,27,27,"[45, 63, 111, 116, 119, 127, 138, 140, 152, 170, 215, 222, 226, 253, 267, 275, 292, 308, 316, 320, 325, 338, 392, 435, 452, 454, 475, 596, 643, 653]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,"['the 9th letter of the English alphabet', 'a graphic representation of this letter', 'a speech counterpart of orthographic i']",[],[],[],[], I pledge my life to you,POSITIVE,0.9929,0.9929,33,0.6346153846153846,0.9797,98,0.5568181818181818,18.31145,6.486717
170,pledge,pledge,pledge,171,20,3,Verse 1: Will Smith,16,138,2,2,2,"[171, 317]","[('pledge', 'NN')]",N,POSITIVE,0.9867,"['a bailment of a chattel as security for a debt or other obligation without involving transfer of title', 'the chattel so delivered', 'the contract incidental to such a bailment']","[['commit', 'engage', 'mortgage', 'troth'], ['hock', 'pawn'], ['covenant', 'promise', 'swear', 'vow']]",[],[],[], I pledge my life to you,POSITIVE,0.9929,0.9929,33,0.6346153846153846,0.9867,111,0.6306818181818182,-10.42462,1.2271727
171,my,my,my,172,20,3,Verse 1: Will Smith,16,139,9,9,9,"[43, 60, 122, 134, 149, 172, 313, 478, 508]","[('my', 'PRP$')]",PRON,POSITIVE,0.9935,"['of or relating to me or myself especially as possessor, agent, object of an action, or familiar person', '—used interjectionally to express surprise and sometimes reduplicated —used also interjectionally with names of various parts of the body to express doubt or disapproval']","[['ah', 'aha', 'come on', 'fie', 'indeed', 'no', 'pshaw', 'well', 'what', 'why']]","['no', 'what', 'why']",[],[], I pledge my life to you,POSITIVE,0.9929,0.9929,33,0.6346153846153846,0.9935,132,0.75,-11.541278,12.885873
172,life,life,life,173,20,3,Verse 1: Will Smith,16,140,4,4,4,"[145, 173, 499, 543]","[('life', 'NN')]",N,POSITIVE,0.9965,"['the quality that distinguishes a vital and functional being from a dead body', 'a principle or force that is considered to underlie the distinctive quality of animate beings', 'an organismic state characterized by capacity for metabolism, growth, reaction to stimuli, and reproduction']","[['bio', 'biography', 'memoir'], ['baby', 'being', 'bird', 'bod', 'body', 'character', 'cookie', 'creature', 'customer', 'devil', 'duck', 'egg', 'face', 'fish', 'guy', 'head', 'human', 'human being', 'individual', 'man', 'mortal', 'party', 'person', 'personage', 'scout', 'slob', 'sort', 'soul', 'specimen', 'stiff', 'thing', 'wight'], ['beans', 'bounce', 'brio', 'dash', 'drive', 'dynamism', 'energy', 'esprit', 'gas', 'get-up-and-go', 'ginger', 'go', 'gusto', 'hardihood', 'juice', 'moxie', 'oomph', 'pep', 'punch', 'sap', 'snap', 'starch', 'verve', 'vigor', 'vim', 'vinegar', 'vitality', 'zing', 'zip'], ['continuance', 'date', 'duration', 'life span', 'lifetime', 'run', 'standing', 'time'], ['civilization', 'culture', 'lifestyle', 'society']]","['baby', 'head', 'man', 'go', 'standing', 'time']","[['lethargy', 'listlessness', 'sluggishness', 'torpidity']]",[], I pledge my life to you,POSITIVE,0.9929,0.9929,33,0.6346153846153846,0.9965,147,0.8352272727272727,-14.811803,5.195204
173,to,to,to,174,20,3,Verse 1: Will Smith,16,141,12,12,12,"[85, 124, 148, 174, 294, 318, 330, 372, 440, 458, 473, 510]","[('to', 'TO')]",OTH,POSITIVE,0.9653,"['—used as a function word to indicate movement or an action or condition suggestive of movement toward a place, person, or thing reached', '—used as a function word to indicate direction', '—used as a function word to indicate contact or proximity']","[['afore', 'ahead of', 'before', 'ere', 'fore', 'of', 'previous to', 'prior to']]","['before', 'of']","[['after', 'following']]",[], I pledge my life to you,POSITIVE,0.9929,0.9929,33,0.6346153846153846,0.9653,86,0.48863636363636365,25.717606,-11.839695
174,you,you,you,175,20,3,Verse 1: Will Smith,16,142,30,27,27,"[41, 53, 101, 105, 142, 175, 213, 225, 245, 256, 270, 281, 289, 300, 319, 328, 342, 346, 351, 374, 385, 433, 445, 547, 550, 553, 570, 598, 603, 641]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,"['the one or ones being addressed —used as the pronoun of the second person singular or plural in any grammatical relation except that of a possessive —used formerly only as a plural pronoun of the second person in the dative or accusative case as direct or indirect object of a verb or as object of a preposition', 'one']","[['what all', 'whatever', 'whatnot']]",[],[],[], I pledge my life to you,POSITIVE,0.9929,0.9929,33,0.6346153846153846,0.9991,168,0.9545454545454546,-38.98409,5.162486
175,Just,Just,just,176,21,4,Chorus,1,1,24,5,4,"[9, 14, 19, 24, 29, 84, 176, 188, 193, 198, 208, 232, 396, 408, 413, 418, 428, 457, 504, 604, 616, 621, 626, 636]","[('just', 'RB')]",ADV,POSITIVE,0.8226,"['having a basis in or conforming to fact or reason : reasonable', 'conforming to a standard of correctness : proper', 'faithful to an original']","[['exactly', 'precisely'], ['barely', 'hardly', 'marginally', 'narrowly', 'scarcely', 'slightly'], ['but', 'merely', 'only', 'purely', 'simply'], ['due', 'exactly', 'full', 'precisely', 'right', 'sharp', 'smack-dab', 'squarely'], ['alone', 'exclusively', 'only', 'purely', 'simply', 'solely'], ['freshly', 'late', 'lately', 'new', 'newly', 'now', 'only', 'recently']]","['but', 'right', 'now']","[['considerably', 'significantly', 'substantially', 'vastly', 'well'], ['anciently']]",[], just the two of us we can make it if we try,POSITIVE,0.9997,0.9997,50,0.9615384615384616,0.8226,59,0.3352272727272727,5.6848097,14.759345
176,the,the,the,177,21,4,Chorus,1,2,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,"['—used as a function word to indicate that a following noun or noun equivalent is definite or has been previously specified by context or by circumstance', '—used as a function word to indicate that a following noun or noun equivalent is a unique or a particular member of its class', '—used as a function word before nouns that designate natural phenomena or points of the compass']","[['beer and skittles', 'easy street', 'fun and games', 'hog heaven', 'picnic']]",[],[],[], just the two of us we can make it if we try,POSITIVE,0.9997,0.9997,50,0.9615384615384616,0.9636,84,0.4772727272727273,9.7205925,-12.262889
177,two,two,two,178,21,4,Chorus,1,3,20,0,0,"[11, 16, 21, 26, 31, 178, 190, 195, 200, 210, 398, 410, 415, 420, 430, 606, 618, 623, 628, 638]","[('two', 'CD')]",DET,POSITIVE,0.9899,"['being one more than one in number', 'being the second —used postpositively']","[['C-note', 'fifty', 'fin', 'five', 'fiver', 'hundred', 'one', 'sawbuck', 'ten', 'tenner', 'twenty', 'buck', 'dollar', 'simoleon', 'smacker', 'cash', 'chips', 'currency', 'dough', 'legal tender', 'lucre', 'money', 'pelf', 'dead presidents', 'paper money', 'scrip', 'check', 'draft', 'money order', 'banknote', 'bill', 'greenback', 'note']]","['five', 'one']",[],[], just the two of us we can make it if we try,POSITIVE,0.9997,0.9997,50,0.9615384615384616,0.9899,119,0.6761363636363636,39.162174,11.533081
178,of,of,of,179,21,4,Chorus,1,4,21,1,1,"[12, 17, 22, 27, 32, 179, 191, 196, 201, 211, 312, 399, 411, 416, 421, 431, 607, 619, 624, 629, 639]","[('of', 'IN')]",PREP,POSITIVE,0.9193,"['—used as a function word to indicate a point of reckoning', '—used as a function word to indicate origin or derivation', '—used as a function word to indicate the cause, motive, or reason']","[['afore', 'ahead of', 'before', 'ere', 'fore', 'previous to', 'prior to', 'to'], ['about', 'apropos', 'apropos of', 'as far as', 'as for', 'as regards', 'as to', 'concerning', 'on', 'regarding', 'respecting', 'touching', 'toward']]","['before', 'to', 'on']","[['after', 'following']]",[], just the two of us we can make it if we try,POSITIVE,0.9997,0.9997,50,0.9615384615384616,0.9193,67,0.3806818181818182,14.363421,-26.74767
179,"us,",us,us,180,21,4,Chorus,1,5,20,0,0,"[13, 18, 23, 28, 33, 180, 192, 197, 202, 212, 400, 412, 417, 422, 432, 608, 620, 625, 630, 640]","[('us', 'PRP')]",PRON,POSITIVE,0.9990000000000001,[],"[['acquaint', 'advise', 'apprise', 'brief', 'catch up', 'clear', 'clue (in)', 'enlighten', 'familiarize', 'fill in', 'hip', 'inform', 'instruct', 'tell', 'verse', 'wise (up)']]",['tell'],[],[], just the two of us we can make it if we try,POSITIVE,0.9997,0.9997,50,0.9615384615384616,0.9990000000000001,167,0.9488636363636364,-24.876413,13.86002
180,we,we,we,181,21,4,Chorus,1,6,6,0,0,"[181, 186, 401, 406, 609, 614]","[('we', 'PRP')]",PRON,POSITIVE,0.9982,"['I and the rest of a group that includes me : you and I : you and I and another or others : I and another or others not including you —used as pronoun of the first person plural', 'i —used by sovereigns—used by writers to keep an impersonal character', 'you —used coaxingly, encouragingly, or in sarcasm']",[],[],[],[], just the two of us we can make it if we try,POSITIVE,0.9997,0.9997,50,0.9615384615384616,0.9982,160,0.9090909090909091,-31.681005,14.962438
181,can,can,can,182,21,4,Chorus,1,7,5,2,2,"[182, 326, 352, 402, 610]","[('can', 'MD')]",V,POSITIVE,0.9985,"['be physically or mentally able to', 'know how to', '—used to indicate possibility —sometimes used interchangeably with may']","[['break', 'break off', 'break up', 'cease', 'cut off', 'cut out', 'desist (from)', 'discontinue', 'drop', 'end', 'give over', 'halt', 'knock off', 'lay off', 'leave off', 'pack (up or in)', 'quit', 'shut off', 'stop'], ['ax', 'bounce', 'cashier', 'discharge', 'dismiss', 'fire', 'muster out', 'pink-slip', 'release', 'remove', 'retire', 'sack', 'terminate', 'turn off']]",['break'],"[['employ', 'engage', 'hire', 'retain', 'sign (up or on)', 'take on']]",[], just the two of us we can make it if we try,POSITIVE,0.9997,0.9997,50,0.9615384615384616,0.9985,163,0.9261363636363636,5.322222,-6.5818996
