,word_can_search,m_w_definition,m_w_synonyms,m_w_synonyms_in_data,m_w_antonyms,m_w_antonyms_in_data
51,get,"['to gain possession of', 'to receive as a return : earn', 'to obtain by concession or entreaty']","[['learn', 'master', 'pick up'], ['catch', 'come down (with)', 'contract', 'go down (with)', 'sicken (with)', 'take'], ['beget', 'father', 'sire'], ['argue', 'bring', 'bring around', 'convert', 'convince', 'gain', 'induce', 'move', 'persuade', 'prevail (on or upon)', 'satisfy', 'talk (into)', 'win (over)'], ['ascertain', 'descry', 'detect', 'determine', 'dig out', 'dig up', 'discover', 'dredge (up)', 'ferret (out)', 'find', 'find out', 'hit (on or upon)', 'hunt (down or up)', 'learn', 'locate', 'nose out', 'root (out)', 'rout (out)', 'rummage', 'run down', 'scare up', 'scout (up)', 'track (down)', 'turn up'], ['aggravate', 'annoy', 'bother', 'bug', 'burn (up)', 'chafe', 'eat', 'exasperate', 'frost', 'gall', 'grate', 'gripe', 'hack (off)', 'irk', 'irritate', 'itch', 'nark', 'nettle', 'peeve', 'persecute', 'pique', 'put out', 'rasp', 'rile', 'ruffle', 'spite', 'vex'], ['become', 'come', 'go', 'grow', 'run', 'turn', 'wax'], ['acquire', 'attain', 'bag', 'bring in', 'capture', 'carry', 'come by', 'draw', 'earn', 'gain', 'garner', 'knock down', 'land', 'make', 'obtain', 'procure', 'pull down', 'realize', 'reap', 'secure', 'win'], ['appreciate', 'apprehend', 'assimilate', 'behold', 'catch', 'catch on (to)', 'cognize', 'compass', 'comprehend', 'conceive', 'cotton (to or on to)', 'decipher', 'decode', 'dig', 'discern', 'grasp', 'grok', 'intuit', 'know', 'make', 'make out', 'perceive', 'recognize', 'register', 'savvy', 'see', 'seize', 'sense', 'tumble (to)', 'twig', 'understand'], ['bag', 'capture', 'catch', 'collar', 'cop', 'corral', 'glom', 'grab', 'grapple', 'hook', 'land', 'nab', 'nail', 'net', 'nobble', 'rap', 'seize', 'snag', 'snap (up)', 'snare', 'snatch', 'trap'], ['bail', 'bail out', 'begone', 'book', 'bug off', 'bug out', 'bugger off', 'buzz (off)', 'clear off', 'clear out', 'cut out', 'depart', 'dig out', 'exit', 'get off', 'go', 'go off', 'move', 'pack (up or off)', 'part', 'peel off', 'pike (out or off)', 'pull out', 'push off', 'push on', 'quit', 'run along', 'sally (forth)', 'scarper', 'shove (off)', 'step (along)', 'take off', 'vamoose', 'walk out'], ['beat', 'best', 'conquer', 'defeat', 'dispatch', 'do down', 'get around', 'lick', 'master', 'overbear', 'overcome', 'overmatch', 'prevail (over)', 'skunk', 'stop', 'subdue', 'surmount', 'take', 'trim', 'triumph (over)', 'upend', 'win (against)', 'worst'], ['address', 'communicate (with)', 'contact', 'reach'], ['assassinate', 'bump off', 'croak', 'dispatch', 'do in', 'execute', 'ice', 'knock off', 'liquidate', 'murder', 'neutralize', 'off', 'put away', 'rub out', 'slay', 'snuff', 'take out', 'terminate', 'whack'], ['addle', 'baffle', 'bamboozle', 'beat', 'befog', 'befuddle', 'bemuse', 'bewilder', 'buffalo', 'confound', 'confuse', 'discombobulate', 'disorient', 'flummox', 'fox', 'fuddle', 'gravel', 'maze', 'muddle', 'muddy', 'mystify', 'perplex', 'pose', 'puzzle', 'vex']]","['take', 'come', 'go', 'make', 'know', 'see', 'off']","[['unlearn'], ['miss', 'overlook', 'pass over'], ['forfeit', 'lose'], ['miss'], ['miss'], ['arrive', 'come', 'show up', 'turn up'], ['lose (to)']]","['lose', 'come']"
52,car,"['a vehicle moving on wheels: such as', 'carriage, chariot', 'a vehicle designed to move on rails (as of a railroad)']","[['auto', 'automobile', 'bus', 'horseless carriage', 'machine', 'motor', 'motorcar', 'motor vehicle', 'wheels']]",[],[],[]
53,seat,"['a special chair of one in eminence; also : the status represented by it', 'a chair, stool, or bench intended to be sat in or on', 'the particular part of something on which one rests in sitting']","[['command', 'headquarters'], ['backside', 'behind', 'booty', 'bottom', 'breech', 'bum', 'buns', 'butt', 'buttocks', 'caboose', 'can', 'cheeks', 'derriere', 'duff', 'fanny', 'fundament', 'hams', 'haunches', 'heinie', 'hunkers', 'keister', 'nates', 'posterior', 'rear', 'rear end', 'rump', 'tail', 'tail end', 'tush'], ['axis', 'base', 'capital', 'center', 'central', 'core', 'cynosure', 'epicenter', 'eye', 'focus', 'ground zero', 'heart', 'hub', 'locus', 'mecca', 'navel', 'nerve center', 'nexus', 'nucleus', 'omphalos']]","['butt', 'can', 'heart']",[],[]
54,people,"['human beings making up a group or assembly or linked by a common interest', 'human beings, persons —often used in compounds instead of persons —often used attributively', 'the members of a family or kinship']","[['folks', 'humanity', 'humankind', 'public', 'species', 'world'], ['commoners', 'commons', 'crowd', 'herd', 'hoi polloi', 'mass', 'millions', 'mob', 'multitude', 'plebeians', 'plebs', 'populace', 'public', 'rank and file'], ['blood', 'clan', 'family', 'folks', 'house', 'kin', 'kindred', 'kinfolk', 'kinsfolk', 'line', 'lineage', 'race', 'stock', 'tribe']]","['world', 'line']","[['A-list', 'aristocracy', 'best', 'choice', ""corps d'elite"", 'cream', 'elect', 'elite', 'fat', 'flower', 'pick', 'pink', 'pride', 'upper crust']]",[]
55,driving,"['communicating force', 'exerting pressure', 'having great force']","[['determined', 'diligent', 'dynamic', 'enterprising', 'gung ho', 'hungry', 'hustling', 'industrious', 'motivated', 'venturesome', 'venturous', 'animated', 'lively', 'spirited', 'ardent', 'avid', 'eager', 'energetic', 'impassioned', 'keen', 'raring', 'vigorous', 'aggressive', 'assertive', 'high-flying', 'opportunistic', 'overambitious', 'pretentious', 'pushy', 'self-assertive', 'competing', 'competitive', 'rival', 'rivalrous', 'ambitious', 'aspiring', 'go-getting', 'hard-driving', 'pushing', 'self-seeking']]",[],"[['apathetic', 'disinterested', 'indifferent', 'uneager', 'unenthusiastic', 'unexcited', 'uninterested', 'casual', 'easygoing', 'lackadaisical', 'lazyish', 'halfhearted', 'lukewarm', 'tepid', 'lazy', 'lethargic', 'listless', 'shiftless', 'sluggish', 'spiritless', 'unaggressive', 'unassertive', 'ambitionless', 'unambitious']]",[]
56,all,"['the whole amount, quantity, or extent of', 'as much as possible', 'every member or individual component of']","[['all of', 'all over', 'altogether', 'clean', 'completely', 'dead', 'enough', 'entire', 'entirely', 'even', 'exactly', 'fast', 'flat', 'full', 'fully', 'heartily', 'out', 'perfectly', 'plumb', 'quite', 'soundly', 'thoroughly', 'through and through', 'totally', 'utterly', 'well', 'wholly', 'wide'], ['apiece', 'each', 'per', 'per capita']]","['enough', 'fast', 'out']","[['half', 'halfway', 'incompletely', 'part', 'partially', 'partly']]",[]
57,fast,"['firmly fixed', 'tightly shut', 'adhering firmly']","[['apace', 'briskly', 'chop-chop', 'double-quick', 'fleetly', 'full tilt', 'hastily', 'hell-for-leather', 'hot', 'lickety-split', 'posthaste', 'presto', 'pronto', 'quick', 'quickly', 'rapidly', 'snappily', 'soon', 'speedily', 'swift', 'swiftly'], ['all', 'all of', 'all over', 'altogether', 'clean', 'completely', 'dead', 'enough', 'entire', 'entirely', 'even', 'exactly', 'flat', 'full', 'fully', 'heartily', 'out', 'perfectly', 'plumb', 'quite', 'soundly', 'thoroughly', 'through and through', 'totally', 'utterly', 'well', 'wholly', 'wide']]","['all', 'enough', 'out']","[['slow', 'slowly'], ['half', 'halfway', 'incompletely', 'part', 'partially', 'partly']]",[]
58,got,[],"[['learned', 'mastered', 'picked up'], ['came down (with)', 'caught', 'contracted', 'sickened (with)', 'took', 'went down (with)'], ['begot', 'fathered', 'sired'], ['argued', 'brought', 'brought around', 'converted', 'convinced', 'gained', 'induced', 'moved', 'persuaded', 'prevailed (on or upon)', 'satisfied', 'talked (into)', 'won (over)'], ['ascertained', 'descried', 'detected', 'determined', 'discovered', 'dredged (up)', 'dug out', 'dug up', 'ferreted (out)', 'found', 'found out', 'hit (on or upon)', 'hunted (down or up)', 'learned', 'located', 'nosed out', 'ran down', 'rooted (out)', 'routed (out)', 'rummaged', 'scared up', 'scouted (up)', 'tracked (down)', 'turned up'], ['aggravated', 'annoyed', 'ate', 'bothered', 'bugged', 'burned (up)', 'chafed', 'exasperated', 'frosted', 'galled', 'grated', 'griped', 'hacked (off)', 'irked', 'irritated', 'itched', 'narked', 'nettled', 'peeved', 'persecuted', 'piqued', 'put out', 'rasped', 'riled', 'ruffled', 'spited', 'vexed'], ['became', 'came', 'grew', 'ran', 'turned', 'waxed', 'went'], ['acquired', 'attained', 'bagged', 'brought in', 'came by', 'captured', 'carried', 'drew', 'earned', 'gained', 'garnered', 'knocked down', 'landed', 'made', 'obtained', 'procured', 'pulled down', 'realized', 'reaped', 'secured', 'won'], ['appreciated', 'apprehended', 'assimilated', 'beheld', 'caught', 'caught on (to)', 'cognized', 'compassed', 'comprehended', 'conceived', 'cottoned (to or on to)', 'deciphered', 'decoded', 'discerned', 'dug', 'grasped', 'grokked', 'intuited', 'knew', 'made', 'made out', 'perceived', 'recognized', 'registered', 'savvied', 'saw', 'seized', 'sensed', 'tumbled (to)', 'twigged', 'understood'], ['bagged', 'captured', 'caught', 'collared', 'copped', 'corralled', 'glommed', 'grabbed', 'grappled', 'hooked', 'landed', 'nabbed', 'nailed', 'netted', 'nobbled', 'rapped', 'seized', 'snagged', 'snapped (up)', 'snared', 'snatched', 'trapped'], ['bailed', 'bailed out', 'booked', 'bugged off', 'bugged out', 'buggered off', 'buzzed (off)', 'cleared off', 'cleared out', 'cut out', 'departed', 'dug out', 'exited', 'got off', 'moved', 'packed (up or off)', 'parted', 'peeled off', 'piked (out or off)', 'pulled out', 'pushed off', 'pushed on', 'quit', 'ran along', 'sallied (forth)', 'scarpered', 'shoved (off)', 'stepped (along)', 'took off', 'vamoosed', 'walked out', 'went', 'went off'], ['beat', 'bested', 'conquered', 'defeated', 'did down', 'dispatched', 'got around', 'licked', 'mastered', 'overbore', 'overcame', 'overmatched', 'prevailed (over)', 'skunked', 'stopped', 'subdued', 'surmounted', 'took', 'trimmed', 'triumphed (over)', 'upended', 'won (against)', 'worsted'], ['addressed', 'communicated (with)', 'contacted', 'reached'], ['assassinated', 'bumped off', 'croaked', 'did in', 'dispatched', 'executed', 'iced', 'knocked off', 'liquidated', 'murdered', 'neutralized', 'offed', 'put away', 'rubbed out', 'slew', 'snuffed', 'terminated', 'took out', 'whacked'], ['addled', 'baffled', 'bamboozled', 'beat', 'befogged', 'befuddled', 'bemused', 'bewildered', 'buffaloed', 'confounded', 'confused', 'discombobulated', 'disoriented', 'flummoxed', 'foxed', 'fuddled', 'graveled', 'mazed', 'muddied', 'muddled', 'mystified', 'perplexed', 'posed', 'puzzled', 'vexed']]","['took', 'came', 'conceived', 'knew']","[['unlearned'], ['missed', 'overlooked', 'passed over'], ['forfeited', 'lost'], ['missed'], ['missed'], ['arrived', 'came', 'showed up', 'turned up'], ['lost (to)']]",['came']
59,me,[],"[['approaching', 'approximating', 'close', 'coextensive', 'coincident', 'conformable', 'conforming', 'consistent', 'consonant', 'duplicate', 'equal', 'fungible', 'interchangeable', 'redundant', 'selfsame', 'substitutable', 'twin', 'cognate', 'connate', 'ditto', 'resemblant', 'resembling', 'coequal', 'duplicate', 'equal', 'even', 'identical', 'indistinguishable', 'same', 'akin', 'alike', 'analogous', 'comparable', 'coordinate', 'correspondent', 'corresponding', 'equivalent', 'like', 'look-alike', 'matching', 'parallel', 'similar', 'such', 'suchlike', 'synonymous', 'tantamount']]",['like'],"[['antonymic', 'antonymous', 'different', 'disparate', 'dissimilar', 'distant', 'distinct', 'distinctive', 'distinguishable', 'diverse', 'nonidentical', 'other', 'unalike', 'unlike', 'antipodal', 'antipodean', 'antithetical', 'contradictory', 'contrary', 'diametric', 'opposite', 'polar', 'differentiable', 'discriminable']]",['opposite']
60,kinda,"['—used for ""kind of"" in informal speech and in representations of such speech']",[],[],[],[]
61,upset,"['to thicken and shorten (something, such as a heated bar of iron) by hammering on the end : swage', 'to force out of the usual upright, level, or proper position : overturn', 'to trouble mentally or emotionally : disturb the poise of']","[['aflutter', 'antsy', 'anxious', 'atwitter', 'dithery', 'edgy', 'goosey', 'het up', 'hinky', 'hung up', 'ill at ease', 'insecure', 'jittery', 'jumpy', 'nervous', 'nervy', 'perturbed', 'queasy', 'tense', 'troubled', 'uneasy', 'unquiet', 'uptight', 'worried']]",[],"[['calm', 'collected', 'cool', 'easy', 'happy-go-lucky', 'nerveless', 'relaxed']]",['easy']
62,home,"[""one's place of residence : domicile"", 'house', 'the social unit formed by a family living together']","[['abode', 'diggings', 'domicile', 'dwelling', 'fireside', 'habitation', 'hearth', 'hearthstone', 'house', 'lodging', 'pad', 'place', 'quarters', 'residence', 'roof'], ['habitat', 'niche', 'range', 'territory'], ['country', 'fatherland', 'homeland', 'mother country', 'motherland', 'sod'], ['extended family', 'house', 'household', 'ménage'], ['birthplace', 'cradle', 'mother country', 'motherland']]",['place'],[],[]
63,safe,"['free from harm or risk : unhurt', 'secure from threat of danger, harm, or loss', 'successful at getting to a base in baseball without being put out']","[['all right', 'alright', 'secure'], ['secure', 'snug'], ['noncontroversial', 'uncontroversial'], ['alert', 'careful', 'cautious', 'chary', 'circumspect', 'conservative', 'considerate', 'gingerly', 'guarded', 'heedful', 'wary'], ['anodyne', 'benign', 'harmless', 'hurtless', 'innocent', 'innocuous', 'inoffensive', 'white'], ['calculable', 'dependable', 'good', 'reliable', 'responsible', 'secure', 'solid', 'steady', 'sure', 'tried', 'tried-and-true', 'true', 'trustable', 'trustworthy', 'trusty']]","['good', 'true']","[['endangered', 'exposed', 'imperiled', 'insecure', 'liable', 'open', 'subject (to)', 'susceptible', 'threatened', 'unsafe', 'violable', 'vulnerable'], ['dangerous', 'hazardous', 'insecure', 'risky', 'unsafe'], ['controversial', 'hot-button'], ['careless', 'heedless', 'incautious', 'unguarded', 'unmindful', 'unsafe', 'unwary'], ['adverse', 'bad', 'baleful', 'baneful', 'damaging', 'dangerous', 'deleterious', 'detrimental', 'evil', 'harmful', 'hurtful', 'ill', 'injurious', 'mischievous', 'nocuous', 'noxious', 'pernicious', 'prejudicial', 'wicked'], ['dodgy', 'uncertain', 'undependable', 'unreliable', 'unsafe', 'untrustworthy']]",['bad']
64,your,"['of or relating to you or yourself or yourselves especially as possessor or possessors, agent or agents, or object or objects of an action', 'of or relating to one or oneself', '—used with little or no meaning almost as an equivalent to the definite article the']","[['aggressive', 'ambitious', 'assertive', 'enterprising', 'fierce', 'go-getting', 'high-pressure', 'militant', 'pushy', 'self-asserting', 'self-assertive']]",[],"[['ambitionless', 'low-pressure', 'nonassertive', 'unaggressive', 'unambitious', 'unassertive', 'unenterprising']]",[]
65,bassinet,"[""a baby's basketlike bed (as of wickerwork or plastic) often with a hood over one end""]","[['cradle', 'crib', 'baby buggy', 'baby carriage', 'buggy', 'perambulator', 'pram', 'pushchair', 'stroller', 'carry-cot']]",['crib'],[],[]
66,don't,"['do not', 'does not']",[],[],[],[]
67,think,"['to form or have in the mind', 'to have as an intention', 'to have as an opinion']","[['allow', 'believe', 'conceive', 'consider', 'deem', 'esteem', 'feel', 'figure', 'guess', 'hold', 'imagine', 'judge', 'reckon', 'suppose']]","['feel', 'hold']",[],[]
68,one,"['being a single unit or thing', 'being one in particular', 'being preeminently what is indicated']","[['bone', 'buck', 'clam', 'dollar', 'smacker']]",[],[],[]
69,wink,"['to shut one eye briefly as a signal or in teasing', 'to close and open the eyelids quickly', 'to avoid seeing or noting something —usually used with at']","[['catnap', 'doze', 'drowse', 'forty winks', 'kip', 'nap', 'siesta', 'snooze'], ['beat', 'eyeblink', 'flash', 'heartbeat', 'instant', 'jiff', 'jiffy', 'minute', 'moment', 'nanosecond', 'New York minute', 'second', 'shake', 'split second', 'trice', 'twinkle', 'twinkling']]",[],[],[]
70,slept,[],"[['catnapped', 'dozed', 'napped', 'rested', 'slumbered', 'snoozed'], ['bred', 'copulated', 'mated']]",[],[],[]
71,as,"['to the same degree or amount', 'for instance : such as', 'when considered in a specified form or relation —usually used before a preposition or a participle']","[['so long as', 'when', 'while', 'whilst'], [""'cause"", 'as long as', 'because', 'being (as or as how or that)', 'considering', 'for', 'inasmuch as', 'now', 'seeing', 'since', 'whereas'], ['albeit', 'although', 'howbeit', 'much as', 'notwithstanding', 'though', 'when', 'whereas', 'while', 'whilst'], ['as if', 'as though', 'like']]","['when', 'because', 'for', 'now', 'although', 'like']",[],[]
72,slipped,"['to move with a smooth sliding motion', 'to move quietly and cautiously : steal', 'elapse, pass']","[['sagged'], ['fell', 'stumbled', 'toppled', 'tripped', 'tumbled'], ['infiltrated', 'insinuated', 'sneaked', 'worked in', 'wormed', 'wound', 'wriggled'], ['lurked', 'mooched', 'moused', 'pussyfooted', 'shirked', 'skulked', 'slid', 'slunk', 'snaked', 'sneaked', 'stole'], ['bowled', 'breezed', 'brushed', 'coasted', 'cruised', 'drifted', 'flowed', 'glided', 'rolled', 'sailed', 'skimmed', 'slid', 'streamed', 'swept', 'whisked'], ['exfoliated', 'molted', 'shed', 'sloughed']]",[],"[['got up', 'rose', 'stood (up)', 'uprose'], ['floundered', 'struggled']]",[]
73,out,"['in a direction away from the inside or center', 'outside', 'from among others']","[['alfresco', 'outdoors', 'outside'], ['aloud', 'audibly', 'out loud'], ['all', 'all of', 'all over', 'altogether', 'clean', 'completely', 'dead', 'enough', 'entire', 'entirely', 'even', 'exactly', 'fast', 'flat', 'full', 'fully', 'heartily', 'perfectly', 'plumb', 'quite', 'soundly', 'thoroughly', 'through and through', 'totally', 'utterly', 'well', 'wholly', 'wide'], ['away', 'down', 'fro', 'hence', 'off']]","['all', 'enough', 'fast', 'off']","[['indoors'], ['inaudibly', 'silently', 'soundlessly', 'voicelessly'], ['half', 'halfway', 'incompletely', 'part', 'partially', 'partly']]",[]
74,bed,"['a piece of furniture on or in which to lie and sleep', 'a place of sex relations', 'marital relationship']","[['bunk', 'doss', 'hay', 'kip', 'lair', 'pad', 'rack', 'sack'], ['bottom', 'floor'], ['catnapping', 'dozing', 'napping', 'repose', 'rest', 'resting', 'shut-eye', 'sleep', 'slumber', 'slumbering', 'snoozing', ""z's""]]",[],"[['consciousness', 'wake', 'wakefulness']]",[]
75,crib,"['a manger for feeding animals', 'an enclosure especially of framework: such as', 'a stall for a stabled animal']","[['plagiarize', 'counterfeit', 'fake', 'forge', 'phony', 'simulate', 'duplicate', 'reduplicate', 'replicate', 'reproduce', 'adulterate', 'doctor', 'fudge', 'juggle', 'manipulate', 'tamper (with)', 'concoct', 'cook (up)', 'fabricate', 'invent']]",['doctor'],[],[]
76,crept,[],"[['encroached', 'inched', 'wormed'], ['crawled', 'dallied', 'dawdled', 'delayed', 'diddled', 'dillydallied', 'dragged', 'lagged', 'lingered', 'loitered', 'lollygagged', 'moped', 'poked', 'shilly-shallied', 'tarried'], ['bellied', 'crawled', 'groveled', 'slid', 'slithered', 'snaked', 'wormed', 'wriggled'], ['crawled', 'creaked (along)', 'dragged', 'inched', 'limped', 'nosed', 'oozed', 'plodded', 'poked', 'slouched', 'snailed']]",[],"[['barreled', 'bolted', 'careered', 'coursed', 'dashed', 'flew', 'hastened', 'hotfooted (it)', 'hurried', 'raced', 'ran', 'ripped', 'rocketed', 'rushed', 'scooted', 'scudded', 'scurried', 'sped', 'tore', 'whirled', 'whisked', 'whizzed', 'zipped'], ['flew', 'raced', 'sped', 'whizzed', 'zipped']]",[]
77,touched,"['emotionally stirred (as with gratitude)', 'slightly unbalanced mentally']","[['dotty', 'fey', 'loopy', 'off', 'potty', 'teched', 'balmy', 'barmy', 'bats', 'batty', 'bedlam', 'bonkers', 'brainsick', 'bughouse', 'certifiable', 'crackbrained', 'cracked', 'crackers', 'crackpot', 'cranky', 'crazed', 'crazy', 'cuckoo', 'daffy', 'daft', 'demented', 'deranged', 'fruity', 'gaga', 'haywire', 'insane', 'kooky', 'loco', 'loony', 'loony tunes', 'lunatic', 'mad', 'maniacal', 'mental', 'meshuga', 'moonstruck', 'non compos mentis', 'nuts', 'nutty', 'psycho', 'psychotic', 'scatty', 'screwy', 'unbalanced', 'unhinged', 'unsound', 'wacko', 'wacky', 'wud', 'aberrant', 'delirious', 'delusional', 'delusionary', 'disordered', 'disturbed', 'neurotic', 'obsessive-compulsive', 'paranoiac', 'paranoid', 'schizoid', 'schizophrenic', 'sociopathic', 'eccentric', 'odd', 'oddball', 'pixilated', 'queer', 'strange', 'foolish', 'senseless', 'witless', 'irrational', 'unreasonable', 'amok', 'ape', 'ballistic', 'bananas', 'berserk', 'nuclear', 'depressed', 'distracted', 'distraught', 'frantic', 'frenzied', 'hysterical', 'raving', 'wigged-out', 'fixated', 'monomaniac', 'monomaniacal', 'obsessed']]","['off', 'crazy', 'mad']","[['balanced', 'compos mentis', 'sane', 'sound', 'uncrazy', 'clear', 'lucid', 'rational', 'reasonable', 'judicious', 'sensible', 'wise', 'healthy', 'normal', 'well-adjusted', 'unneurotic']]",[]
78,head,"['the upper or anterior division of the animal body that contains the brain, the chief sense organs, and the mouth', 'the seat of the intellect : mind', 'a person with respect to mental qualities']","[['bean', 'block', 'dome', 'mazard', 'nob', 'noddle', 'noggin', 'noodle', 'nut', 'pate', 'poll'], ['chair', ""driver's seat"", 'headship', 'helm', 'rein(s)'], ['foam', 'froth', 'lather', 'spume', 'suds', 'surf'], ['baby', 'being', 'bird', 'bod', 'body', 'character', 'cookie', 'creature', 'customer', 'devil', 'duck', 'egg', 'face', 'fish', 'guy', 'human', 'human being', 'individual', 'life', 'man', 'mortal', 'party', 'person', 'personage', 'scout', 'slob', 'sort', 'soul', 'specimen', 'stiff', 'thing', 'wight'], ['boiling point', 'breaking point', 'clutch', 'conjuncture', 'crisis', 'crossroad(s)', 'crunch', 'crunch time', 'Dunkirk', 'emergency', 'exigency', 'extremity', 'flash point', 'juncture', 'tinderbox', 'zero hour'], ['headstream', 'headwater', 'source'], ['acme', 'apex', 'apogee', 'capstone', 'climax', 'crescendo', 'crest', 'crown', 'culmination', 'height', 'high noon', 'high-water mark', 'meridian', 'ne plus ultra', 'noon', 'noontime', 'peak', 'pinnacle', 'sum', 'summit', 'tip-top', 'top', 'zenith'], ['daylights', 'marbles', 'mind', 'reason', 'saneness', 'sanity', 'wit(s)'], ['brain', 'cerebrum', 'mind', 'psyche', 'thinker'], ['boss', 'boss man', 'captain', 'chief', 'foreman', 'headman', 'helmsman', 'honcho', 'jefe', 'kingpin', 'leader', 'master', 'taskmaster'], ['dam', 'dike', 'embankment', 'levee'], ['bath', 'bathroom', 'bog', 'can', 'cloakroom', 'comfort station', 'convenience', 'john', 'latrine', 'lavatory', 'loo', 'potty', 'restroom', 'toilet', 'washroom', 'water closet'], ['addict', 'dopehead', 'doper', 'druggie', 'fiend', 'freak', 'hophead', 'hype', 'junkie', 'stoner', 'user'], ['addict', 'aficionado', 'buff', 'bug', 'devotee', 'enthusiast', 'fan', 'fanatic', 'fancier', 'fiend', 'fool', 'freak', 'habitué', 'hound', 'junkie', 'lover', 'maniac', 'maven', 'nut', 'sucker'], ['caption', 'header', 'heading', 'headline', 'rubric', 'title'], ['aptitude', 'bent', 'endowment', 'faculty', 'flair', 'genius', 'gift', 'knack', 'talent']]","['baby', 'life', 'man', 'mind', 'can']","[['bottom', 'nadir', 'rock bottom'], ['dementia', 'derangement', 'insanity', 'lunacy', 'madness', 'mania', 'unreason'], ['nonaddict', 'nonuser'], ['nonfan']]",[]
79,gently,"['free from harshness, sternness, or violence', 'tractable, docile', 'soft, delicate']","[['feebly', 'softly', 'weakly', 'delicately', 'faintly', 'frailly', 'shakily', 'bloodlessly', 'halfheartedly', 'languidly', 'lazily', 'listlessly', 'spiritlessly', 'impotently', 'ineffectively', 'ineffectually', 'lamely', 'nervelessly', 'spinelessly', 'uncertainly'], ['angelically', 'divinely', 'sweetly', 'tenderly', 'compassionately', 'sympathetically', 'considerately', 'feelingly', 'lovingly', 'mercifully', 'sensitively', 'softheartedly', 'solicitously', 'soulfully', 'thoughtfully', 'altruistically', 'humanely', 'affably', 'agreeably', 'amiably', 'cordially', 'genially', 'good-humoredly', 'good-naturedly', 'graciously', 'nicely', 'pleasantly', 'benevolently', 'benignantly', 'good-heartedly', 'kindheartedly', 'kindly']]",[],"[['dynamically', 'energetically', 'explosively', 'firmly', 'forcefully', 'forcibly', 'hard', 'mightily', 'muscularly', 'powerfully', 'roundly', 'stiffly', 'stoutly', 'strenuously', 'strongly', 'sturdily', 'vigorously', 'fiercely', 'hammer and tongs', 'robustly', 'roughshod', 'sharply', 'vehemently', 'violently', 'actively', 'animatedly', 'briskly', 'crisply', 'eagerly', 'gamely', 'heartily', 'lustily', 'snappily', 'spiritedly', 'spunkily', 'vivaciously'], ['bitchily', 'cattily', 'despitefully', 'hatefully', 'malevolently', 'maliciously', 'malignantly', 'meanly', 'nastily', 'spitefully', 'viciously', 'villainously', 'virulently', 'wickedly', 'contemptuously', 'deprecatingly', 'disdainfully', 'scornfully', 'acrimoniously', 'antagonistically', 'caustically', 'envyingly', 'hostilely', 'invidiously', 'obnoxiously', 'rancorously', 'venomously', 'vindictively', 'vituperatively']]",[]
80,felt,"['a cloth made of wool and fur often mixed with natural or synthetic fibers through the action of heat, moisture, chemicals, and pressure', 'a firm woven cloth of wool or cotton heavily napped and shrunk', 'an article made of felt']","[['perceived', 'saw', 'scented', 'sensed', 'smelled', 'tasted'], ['touched'], ['endured', 'experienced', 'had', 'knew', 'passed', 'saw', 'suffered', 'sustained', 'tasted', 'underwent', 'witnessed'], ['allowed', 'believed', 'conceived', 'considered', 'deemed', 'esteemed', 'figured', 'guessed', 'held', 'imagined', 'judged', 'reckoned', 'supposed', 'thought'], ['fished', 'fumbled', 'groped', 'scrabbled'], ['acted', 'appeared', 'came across (as)', 'came off (as)', 'looked', 'made', 'seemed', 'sounded']]","['touched', 'had', 'knew', 'conceived']",[],[]
81,heart,"['a hollow muscular organ of vertebrate animals that by its rhythmic contraction acts as a force pump maintaining the circulation of the blood', 'a structure in an invertebrate animal functionally analogous to the vertebrate heart', 'breast, bosom']","[['bigheartedness', 'charity', 'commiseration', 'compassion', 'feeling', 'good-heartedness', 'humanity', 'kindheartedness', 'kindliness', 'kindness', 'largeheartedness', 'mercy', 'pity', 'ruth', 'softheartedness', 'sympathy', 'warmheartedness'], ['axis', 'base', 'capital', 'center', 'central', 'core', 'cynosure', 'epicenter', 'eye', 'focus', 'ground zero', 'hub', 'locus', 'mecca', 'navel', 'nerve center', 'nexus', 'nucleus', 'omphalos', 'seat'], ['bottle', 'bravery', 'courage', 'courageousness', 'daring', 'daringness', 'dauntlessness', 'doughtiness', 'fearlessness', 'gallantry', 'greatheartedness', 'guts', 'gutsiness', 'hardihood', 'heroism', 'intestinal fortitude', 'intrepidity', 'intrepidness', 'moxie', 'nerve', 'pecker', 'prowess', 'stoutness', 'valor', 'virtue'], ['bottom line', ""bull's-eye"", 'centerpiece', 'core', 'crux', 'essence', 'gist', 'kernel', 'keynote', 'meat', 'meat and potatoes', 'net', 'nub', 'nubbin', 'nucleus', 'pith', 'pivot', 'point', 'root', 'sum'], ['belly', 'blood', 'bone(s)', 'bosom', 'breast', 'core', 'gut', 'heartstrings', 'inner space', 'inside', 'quick', 'soul']]",['seat'],"[['coldheartedness', 'hard-heartedness', 'inhumanity', 'inhumanness', 'mercilessness', 'pitilessness'], ['cowardice', 'cowardliness', 'cravenness', 'dastardliness', 'poltroonery', 'spinelessness']]",[]
82,melt,"['to become altered from a solid to a liquid state usually by heat', 'dissolve, disintegrate', 'to disappear as if by dissolving']","[['dematerialize', 'disappear', 'dissolve', 'evanesce', 'evaporate', 'fade', 'flee', 'fly', 'sink', 'vanish'], ['deliquesce', 'flux', 'fuse', 'liquefy', 'run', 'thaw']]",[],"[['appear', 'materialize'], ['harden', 'set', 'solidify']]",[]
